a.id,a.firstname,a.lastname,a.gender,a.birthdate,a.deathdate,a.birthplace,a.deathplace,a.nationality
1861,G.,Brailovsky,M,0000-01-01,0000-01-01,,,
1862,D.,Varapaev,M,0000-01-01,0000-01-01,,,
1863,E. N.,William,,0000-01-01,0000-01-01,,,
1864,V. A.,Galvich,,0000-01-01,0000-01-01,,,
1865,Ekaterina Vasilevna,Goldinger,F,1881-01-01,1973-01-01,Moscow,Moscow,RU
1866,Ivan Georgievic,Gugunava,M,1860-01-01,1919-01-01,Litvinovo,Moscow,GE
1867,Vasili Ivanovich,Denisov,M,1862-01-01,1921-01-01,Zamość,Moscow,RU
1868,Ivan,Yefimov,M,1878-01-01,1959-01-01,Moscow,Moscow,RU
1869,Bertalan,Pór,M,1880-01-01,1964-01-01,Bátaszék,Budapest,HU
1870,G.,Karachevcev,M,0000-01-01,0000-01-01,,,
1871,Ivan Adolfovich,Knabe,M,1879-01-01,0000-01-01,,,RU
1872,G.,Konstantinov,M,0000-01-01,0000-01-01,,,
1873,Vasily Ivanovich,Komarov,M,1868-01-01,1918-01-01,Moscow,Moscow,RU
1874,R.,Kostetti,,0000-01-01,0000-01-01,,,
1875,Yelizaveta,Kruglikova,F,1865-01-01,1941-01-01,Moscow,Saint Petersburg,RU
1876,Max,Oppenheimer,M,1885-01-01,1954-01-01,Vienna,New York,AT
1877,Herbert,Fiedler,M,1891-01-01,1962-01-01,Leipzig,Amsterdam,DE
1878,Wilhelm,Lange,M,0000-01-01,0000-01-01,,,
1879,Alfred,Sohn-Rethel,M,1875-01-01,1958-01-01,Dusseldorf,Tübingen,DE
1880,Hans,Steiner,M,1885-01-01,1922-01-01,,,DE
1881,Eugène,Zak,M,1884-01-01,1926-01-01,Mogilno,Paris,PL
1883,Kristen,Holbø,M,1869-01-01,1953-01-01,Vågå,Lillehammer,NO
1884,August,Jacobsen,M,1868-01-01,1955-01-01,Stavanger,Stavanger,NO
1885,Edward,Hald,M,1883-01-01,1980-01-01,Stockholm,Stockholm,SE
1886,Albert,Hoffsten,M,1887-01-01,1927-01-01,Stockholm,Stockholm,SE
1887,Einar,Nerman,M,1888-01-01,1983-01-01,Norrköping,Lidingö,SE
1888,Strandberg,Gadde,,0000-01-01,0000-01-01,,,SE
1890,Konstantin,Kuznetsov,M,1863-01-01,1936-01-01,Zhyolnino,Paris,RU
1891,Nikolay,Kuznetsov,M,1850-01-01,1930-01-01,Kherson,Sarajevo,RU
1892,N.,Kunce,,0000-01-01,0000-01-01,,,
1893,A. A.,Lavrovskaya,F,0000-01-01,0000-01-01,,,
1894,Petr Nikandroivč,Mironovic,M,0000-01-01,0000-01-01,,,RU
1895,Boris Nikolaevič,Lipkin,M,1874-01-01,0000-01-01,,,RU
1896,K. I.,Mikhailova,F,0000-01-01,0000-01-01,,,
1897,Hadar,Jönzén,M,1885-01-01,1977-01-01,Stockholm,Stockholm,SE
1898,Stanislav-Vitold Vladislavovich,Noakovsky,M,1867-01-01,1928-01-01,Nieszawa,Warsaw,PL
1899,Sergej Ivanovič,Petrov,M,1881-01-01,1936-01-01,Moscow,,RU
1900,Erik Gustaf,Lindvall,M,1890-01-01,1969-01-01,Katarina församling,Kungsholms församling,SE
1901,Fedor Ivanovich,Rerberg,M,1865-01-01,1938-01-01,Moscow,Moscow,RU
1902,G.,Saltykov,M,0000-01-01,0000-01-01,,,
1903,,Simonovic,,0000-01-01,0000-01-01,,,
1904,K. V.,Spasskiy,M,0000-01-01,0000-01-01,,,
1905,V. V.,Spasskiy,M,0000-01-01,0000-01-01,,,
1906,Aleksander,Sredin,M,1872-01-01,1934-01-01,Kerch,Saint-Raphaël,RU
1907,A. P.,Tokarev,M,0000-01-01,0000-01-01,,,
1908,Nikolai Sergeevic,Ulianov,M,0000-01-01,0000-01-01,,,
1909,Fyodor,Fyodorovsky,M,1883-01-01,1955-01-01,Chernigov,Moscow,RU
1910,Hugo,Fidus,M,1868-01-01,1948-01-01,Lubeck,Woltersdorf,DE
1911,Mikhail,Kharlamov,M,1880-01-01,1948-01-01,,,RU
1912,Nikolai I.,Khrustachev,M,1883-01-01,1960-01-01,Sergiyev Posad,Moscow,RU
1913,G.,Chuyko,,0000-01-01,0000-01-01,,,
1914,V. I.,Shagin,M,0000-01-01,0000-01-01,,,
1915,Mikhail,Shesterkin,M,0000-01-01,0000-01-01,,,
1916,Aleksandr Georgievich,Yakimchenko,M,1878-01-01,1929-01-01,,Moscow,RU
1917,Aleksej Alekseevič,Jasinskij,M,1874-01-01,1943-01-01,Moscow,,RU
1918,Konstantin,Jasinskij,M,0000-01-01,0000-01-01,,,
1919,A.,Yastrzhembsky,M,0000-01-01,0000-01-01,,,
1921,V. I.,Pozdneev,M,0000-01-01,0000-01-01,,,
1922,Michail Semenovič,Pyrin,M,1874-01-01,1943-01-01,,,RU
1923,Alfred,Sisley,M,1839-01-01,1899-01-01,Paris,Moret-sur-Loing,FR
1924,Adrienne,Bruyère,F,1870-01-01,1950-01-01,Leuze-en-Hainaut,Sint-Pieters-Leeuw,BE
1925,Marguerite,Lombois,F,0000-01-01,0000-01-01,,,
1926,Alexandre,Blanchet,M,1882-01-01,1961-01-01,Pforzheim,Geneva,CH
1927,Alberic,Coppieters,M,1878-01-01,1902-01-01,Ypres,Paris,BE
1928,Gaston,De Beer,M,1890-01-01,1953-01-01,Brussels,Brussels,BE
1929,Victor,Dulot,M,0000-01-01,0000-01-01,,,FR
1930,"Nathaniel, II",Hone,M,1831-01-01,1917-01-01,Dublin,Dublin,IE
1931,Jean-Auguste-Dominique,Ingres,M,1780-01-01,1867-01-01,Montauban,Paris,FR
1932,Julien,Genot,M,1884-01-01,0000-01-01,,,
1934,Georges,Le Serrec de Kervily,M,1883-01-01,1952-01-01,Cracow,California,PL
1935,Derwent,Lees,M,1885-01-01,1931-01-01,Hobart,London,AU
1936,Max,Mayrshofer,M,1875-01-01,1950-01-01,Munich,Munich,DE
1937,Henry,Meuwis,M,1870-01-01,1935-01-01,Brussels,Molenbeek-Saint-Jean,BE
1938,Willem,Paerels,M,1878-01-01,1962-01-01,Delft,Braine-l'Alleud,BE
1939,Roger,Parent,M,1881-01-01,1986-01-01,Paris,Brussels,FR
1940,Ambrose,Patterson,M,1877-01-01,1966-01-01,Daylesford,Seattle,AU
1941,Oscar,Petyt,M,0000-01-01,0000-01-01,,,
1942,George William,Russell,M,1867-01-01,1935-01-01,Lurgan,Bournemouth,IE
1943,Charles Emmanuel,Serret,M,1824-01-01,1900-01-01,Aubenas,Paris,FR
1944,Charles Haslewood,Shannon,M,1863-01-01,1937-01-01,Quarrington,Kew,GB
1945,Philip Wilson,Steer,M,1860-01-01,1942-01-01,Birkenhead,London,GB
1946,Félix Elie,Tobeen,M,1880-01-01,1938-01-01,Bordeaux,Saint-Valéry-sur-Somme,FR
1947,Friedrich August,Weinzheimer,M,1882-01-01,1947-01-01,Golzheim,Florence,DE
1948,Jack B.,Yeats,M,1871-01-01,1957-01-01,Tullylish,New York,IE
1953,Joseph,Bernard,M,1866-01-01,1931-01-01,"Vienne, Isère",Boulogne-Billancourt,FR
1954,Theodore Earl,Butler,M,1860-01-01,1936-01-01,"Columbus, Ohio",Giverny,US
1958,Emilie,Charmy,F,1878-01-01,1974-01-01,Saint-Étienne,Paris,FR
1960,Anatoly,Arapov,M,1876-01-01,1949-01-01,Saint Petersburg,Moscow,RU
1961,Aleksandr,Arnshtam,M,1880-01-01,1969-01-01,Moscow,Paris,RU
1962,Abram,Arkhipov,M,1862-01-01,1930-01-01,Ryazan,Moscow,RU
1963,Avgust,Baller,M,1879-01-01,1962-01-01,Budaki,Bucharest,
1964,Michail Pavlovič,Bobyšov,M,1885-01-01,1964-01-01,Pogoreloye Gorodishche,Saint Petersburg,RU
1965,Konstantin,Bogayevsky,M,1872-01-01,1943-01-01,Feodosiya,Feodosiya,RU
1966,Ossip Emmanujilowitsch,Brass,M,1872-01-01,1936-01-01,Odessa,Paris,RU
1968,Liubov Nikolaevna,Gaush,F,1877-01-01,1943-01-01,Saint Petersburg,Simferopol,RU
1969,Lidiya Nikandrovna,Verkhovskaya,F,1882-01-01,1919-01-01,Smolensk,Saint Petersburg,RU
1970,G.A.,Grandi,M,0000-01-01,0000-01-01,,,
1971,Boris,Grigor'yev,M,1886-01-01,1939-01-01,Rybinsk,Cagnes-sur-Mer,RU
1972,Konstantin Vikent'evič,Dydyško,M,1876-01-01,1932-01-01,Kaunas,Copenhagen,RU
1973,Miklós,Némethy,M,0000-01-01,0000-01-01,,,HU
1974,Henriette,Bachmann,F,0000-01-01,0000-01-01,,,HU
1975,Gergely,Pörge,M,1858-01-01,1930-01-01,Pest,Újpest,HU
1976,Artur,Tölgyessy,M,1853-01-01,1920-01-01,Szeged,Budapest,HU
1977,Mark,Rubovics,M,1867-01-01,1947-01-01,Pest,Budapest,HU
1978,Mozart,Rottmann,M,1874-01-01,1958-01-01,Užgorod,Budapest,HU
1979,Margit,Rácz-Kovách,F,1870-01-01,0000-01-01,Vác,,HU
1980,Ferenc,Rosenmayer,M,1864-01-01,1912-01-01,Budapest,Budapest,HU
1981,Dezső,Kőszegi-Fangh,M,1876-01-01,1947-01-01,Sopron,Baden bei Wien,AT
1982,Antal,Berkes,M,1874-01-01,1938-01-01,Budapest,Budapest,HU
1983,Endre Komaromi,Kacz,M,1880-01-01,1969-01-01,Komárom,Balatonalmádi,HU
1984,Gyula,Zorkóczy,M,1873-01-01,1932-01-01,Revúca,Budapest,HU
1985,Pál,Pichler,M,1885-01-01,1918-01-01,Bánszállás,Vrbas,HU
1986,Béla,Erdőssy,M,1871-01-01,1928-01-01,Komárno,Budapest,HU
1987,Theodor,Alexeyev,M,1753-01-01,1824-01-01,,,
1988,Nikolay,Alexeyev,M,1813-01-01,1880-01-01,,,RU
1989,Boris,Anisfel'd,M,1879-01-01,1973-01-01,Bălţi,Waterford,RU
1990,Nikolay,Argunov,M,1771-01-01,1861-01-01,Saint Petersburg,Moscow,RU
1991,Elisabeth,Balkund,F,0000-01-01,0000-01-01,,,
1992,Ivan,Bilibin,M,1876-01-01,1942-01-01,Tarkhovka,Saint Petersburg,RU
1993,Vladimir,Borovikovsky,M,1757-01-01,1825-01-01,Mirgorod,Saint Petersburg,RU
1994,Aleksandr,Bryullov,M,1798-01-01,1877-01-01,Saint Petersburg,Saint Petersburg,RU
1995,Karl,Bryullov,M,1799-01-01,1853-01-01,Saint Petersburg,Marciano della Chiana,RU
1996,Theodor,Bruni,M,1800-01-01,1875-01-01,,Saint Petersburg,
1997,Johann,Chruzhky,M,1806-01-01,1852-01-01,,,
1998,Georgy,Rakovich,M,0000-01-01,0000-01-01,,,
2000,Modest Aleksandrovic,Durnow,M,1867-01-01,1928-01-01,,Moscow,RU
2001,Nikolaj Petrovič,Feofilaktov,M,1878-01-01,1941-01-01,Moscow,Moscow,RU
2002,Nikolay,Ge,M,1831-01-01,1894-01-01,Voronezh,Ukraine,RU
2003,Aleksandr,Golovin,M,1863-01-01,1930-01-01,Moscow,Pushkin,RU
2004,Mikhail,Ivanov,M,1748-01-01,1823-01-01,Veliky Novgorod,Saint Petersburg,RU
2005,Konstantin,Yuon,M,1875-01-01,1958-01-01,Moscow,Moscow,RU
2006,Orest,Kiprensky,M,1782-01-01,1836-01-01,Kopor'ye,Rome,RU
2007,Konstantin,Korovin,M,1861-01-01,1939-01-01,Moscow,Paris,RU
2008,Ivan,Kramskoy,M,1837-01-01,1887-01-01,Ostrogozhsk,Saint Petersburg,RU
2009,Boris,Kustodiyev,M,1878-01-01,1927-01-01,Astrakhan,Saint Petersburg,RU
2010,Yevgeny,Lansere,M,1875-01-01,1946-01-01,Pavlovsk,Moscow,RU
2011,Isaak,Levitan,M,1860-01-01,1900-01-01,Kybartai,Moscow,RU
2012,Dmitry,Levitsky,M,1735-01-01,1822-01-01,Kiev,Saint Petersburg,RU
2013,Agnes,Lindemann,F,1878-01-01,1942-01-01,Pulkovo,Gotha,RU
2014,Walter,Lokkenberg,M,1875-01-01,1921-01-01,Saint Petersburg,Harbin,RU
2015,Tatjana,Lugowskaya,F,1875-01-01,0000-01-01,,,
2016,Filipp,Malyavin,M,1869-01-01,1940-01-01,Kazanki,Nice,RU
2017,Sergey Vasil'yevich,Malyutin,M,1859-01-01,1937-01-01,Moscow,Moscow,RU
2018,Andrej Matveevič,Matveev,M,1701-01-01,1739-01-01,Velikiy Novgorod,Saint Petersburg,RU
2019,Nikolai Vasilevich,Meshcherin,M,1864-01-01,1916-01-01,Moscow,,RU
2021,T. P.,Chernyshev,M,0000-01-01,0000-01-01,,,
2022,Ivan,Nikitin,M,1690-01-01,1741-01-01,Moscow,Tobolsk,RU
2023,Vladimir Vasilevič,Perepletčikov,M,1863-01-01,1918-01-01,Moscow,Moscow,RU
2024,Pyotr,Petrovichev,M,1874-01-01,1947-01-01,Ростовский уезд,Moscow,RU
2025,Il'ya,Repin,M,1844-01-01,1930-01-01,Chuguyev,Repino,RU
2026,Andrey,Ryabushkin,M,1861-01-01,1904-01-01,Borisoglebsk,Didvino,RU
2027,Nicholas,Roerich,M,1874-01-01,1947-01-01,Saint Petersburg,Kulu,RU
2028,Fyodor,Rokotov,M,1735-01-01,1808-01-01,Vorontsovo manor Park,Moscow,RU
2029,Arkady,Rylov,M,1870-01-01,1939-01-01,Istobenskoe,Saint Petersburg,RU
2030,Margarita V.,Sabaschnikow,F,1882-01-01,1973-01-01,Moscow,Stuttgart,RU
2031,Lipót,Herman,M,1884-01-01,1972-01-01,Sînnicolau Mare,Budapest,HU
2032,Alexander,Scherwaschidze,M,1871-01-01,0000-01-01,,,RU
2033,Mikhail,Shibanov,M,0000-01-01,0000-01-01,,,RU
2035,Nikolai von,Seddeler,M,1874-01-01,1937-01-01,Saint Petersburg,Moscow,RU
2036,Alexander,Seredin,M,0000-01-01,0000-01-01,,,
2037,Valentin,Serov,M,1865-01-01,1911-01-01,Saint Petersburg,Moscow,RU
2038,Pyotr,Sokolov,M,1821-01-01,1899-01-01,Saint Petersburg,Saint Petersburg,RU
2040,Semen Fedorovič,Ščedrin,M,1745-01-01,1804-01-01,Saint Petersburg,Saint Petersburg,RU
2041,Sil'vestr,Shchedrin,M,1791-01-01,1830-01-01,Saint Petersburg,Sorrento,RU
2043,Stepan,Stschukin,M,0000-01-01,0000-01-01,,,RU
2044,Dmitry,Stelletsky,M,1875-01-01,1947-01-01,Brest-Litovsk,Sainte-Geneviève-des-Bois,RU
2045,Nicolas Alexandrovitch,Tarkhoff,M,1871-01-01,1930-01-01,Moscow,Orsay,RU
2046,Eugiché,Tatewossianz,M,0000-01-01,0000-01-01,,,
2047,Vasily,Tropinin,M,1776-01-01,1857-01-01,Karpovka,Moscow,RU
2048,"Paolo, Prince",Troubetzkoy,M,1866-01-01,1938-01-01,Intra,Pallanza,IT
2049,Appolinarij,Wassnezow,M,0000-01-01,0000-01-01,,,
2050,Peter,Wedenezky,M,1766-01-01,1847-01-01,,,
2051,Aleksey,Venetsianov,M,1780-01-01,1847-01-01,Moscow,Tver',RU
2052,Sergey,Vinogradov,M,1869-01-01,1938-01-01,Nekrasovskoye,Riga,RU
2053,Maxim,Worobiew,M,1787-01-01,1855-01-01,,,RU
2054,Aleksandr Grigorʹevich,Varnek,M,1782-01-01,1843-01-01,Saint Petersburg,Saint Petersburg,RU
2055,Fiodor,Wassilijew,M,1850-01-01,1873-01-01,,,
2056,Maria Vasilievna,Iakunchikova-Veber,F,1870-01-01,1902-01-01,Wiesbaden,Chêne-Bougeries,RU
2057,Stepan Petrovich,Yaremich,M,1869-01-01,1939-01-01,Kiev,Leningrad,RU
2058,Sergey,Zaryenko,M,1818-01-01,1871-01-01,"Lyady, Vitebsk Region",Moscow,RU
2059,Kapiton,Zelentsov,M,1790-01-01,1845-01-01,,Saint Petersburg,RU
2060,E.Ya.,Sander-Rodlova,F,0000-01-01,0000-01-01,,,
2061,M.P.,Sandin,M,0000-01-01,0000-01-01,,,
2062,M.I.,Iwashincova,F,1882-01-01,1957-01-01,,,
2063,O.N.,Karatygina,F,0000-01-01,0000-01-01,,,
2064,Nikolay,Lansere,M,1879-01-01,1942-01-01,Saint Petersburg,Saratov,RU
2065,Elsa Alfredovna,Lasson-Spirova,F,1876-01-01,1920-01-01,Riga,Moscow,LV
2066,Miklós,Vadász,M,1884-01-01,1927-01-01,Budapest,Paris,HU
2067,Mihály,Munkácsy,M,1844-01-01,1900-01-01,Mukachevo,Endenich,HU
2068,László,Paál,M,1846-01-01,1879-01-01,"Zam, Hunedoara",Charenton-le-Pont,HU
2069,Géza,Mészöly,M,1844-01-01,1887-01-01,Sárbogárd,Jobbágyi,HU
2070,Mykhail,Latri,M,1875-01-01,1941-01-01,Odessa,Paris,RU
2071,Nadezhda,Ljubavina,F,0000-01-01,0000-01-01,,,
2072,Anna Vladimirovna,Remizova-Vasilyeva,F,1880-01-01,1928-01-01,Saint Petersburg,,RU
2073,Dmitry,Mitrokhin,M,1883-01-01,1973-01-01,Yeysk,Moscow,RU
2074,Zoja Jakovlevna,Mostova-Matveeva,F,1884-01-01,1972-01-01,Perm,Moscow,RU
2075,Georgy,Narbut,M,1886-01-01,1920-01-01,Narbutivka,Kiev,UA
2076,Pavel,Naumov,M,1884-01-01,1942-01-01,Chernigov,Saint Petersburg,UA
2077,Andrey,Ol',M,1883-01-01,1958-01-01,Saint Petersburg,Saint Petersburg,RU
2078,P.P.,Potipaka,,0000-01-01,0000-01-01,,,RU
2079,Aleksei Aleksandrovich,Radakov,M,1879-01-01,1942-01-01,Kirov,Tbilisi,RU
2080,N.E.,Radlov,M,0000-01-01,0000-01-01,,,
2082,Nicolai,Remisoff,M,1887-01-01,1975-01-01,Saint Petersburg,Riverside County,RU
2083,Aleksandr,Rostislavov,M,1860-01-01,1920-01-01,Kaluga,Kaluga,RU
2084,Zinaida,Serebryakova,F,1884-01-01,1967-01-01,Kharkov,Paris,RU
2085,N.P.,Skosarevskaya,,0000-01-01,0000-01-01,,,
2086,Pavel Aleksandrovich,Smelov,M,1875-01-01,0000-01-01,,,RU
2087,Leonid,Sologub,M,1884-01-01,1956-01-01,Yeysk,"Hague, The",RU
2088,R.O.,Ulman,,0000-01-01,0000-01-01,,,
2089,Ivan,Fomin,M,1872-01-01,1936-01-01,Oryol,Moscow,RU
2090,Marija Jakovlevna,Chembers-Bilibina,F,1874-01-01,1962-01-01,Saint Petersburg,Oxford,RU
2091,Sergey,Chekhonin,M,1878-01-01,1936-01-01,Lykoshino,Lörrach,RU
2092,Boris,Shaposhnikov,M,1890-01-01,1956-01-01,Moscow,Saint Petersburg,RU
2093,Adolf Iosifovic,Charlemagne,M,1826-01-01,1901-01-01,Saint Petersburg,Saint Petersburg,RU
2094,Aleksandr,Shervashidze,M,1867-01-01,1968-01-01,Feodosiya,Monte Carlo,RU
2095,Lev,Zhegin,M,1892-01-01,1969-01-01,Moscow,Moscow,RU
2096,V. D.,Shitikov,M,1874-01-01,1957-01-01,,,RU
2097,N.N.,Shmakov,M,0000-01-01,0000-01-01,,,
2098,Vasily,Shukhayev,M,1887-01-01,1973-01-01,Moscow,Tbilisi,RU
2099,Aleksandr,Yakovlev,M,1887-01-01,1938-01-01,Saint Petersburg,Paris,RU
2100,Michail Nikolaevič,Jakovlev,M,1880-01-01,1942-01-01,Mikhaylov,Tbilisi,RU
2104,Léon,Dabo,M,1868-01-01,1960-01-01,Detroit,New York,US
2108,Katherine Sophie,Dreier,F,1877-01-01,1952-01-01,New York,Milford,US
2110,Florence,Esté,F,1860-01-01,1926-01-01,Cincinnati,Paris,US
2116,Louis,Thévenet,M,1874-01-01,1930-01-01,Bruges,Halle (on Charleroi-Brussels canal),BE
2117,Léon,Thumilaire,M,1881-01-01,1918-01-01,,,BE
2119,Jacques van,Coppenolle,M,1878-01-01,1915-01-01,Montigny-sur-Loing,Vauquois,FR
2120,Bernard,Gussow,M,1881-01-01,1957-01-01,Russia,New York,US
2121,Childe,Hassam,M,1859-01-01,1935-01-01,Dorchester,East Hampton,US
2122,Louis,Van der Swaelmen,M,1883-01-01,1929-01-01,Brussels,Montreux,BE
2127,Charles Henri,Willems,M,1865-01-01,0000-01-01,Sèvres,,FR
2128,Otto,Bruenauer,M,1877-01-01,1912-01-01,Vienna,Vienna,AT
2129,Hans Adolph,Bühler,M,1877-01-01,1951-01-01,Steinen,Jechtingen,DE
2132,Nikolay,Feshin,M,1881-01-01,1955-01-01,Kazan,Santa Monica,RU
2135,Fritz,Hass,M,1864-01-01,1930-01-01,Heiligenbeil,Lugano,DE
2139,Emil W.,Herz,M,1877-01-01,0000-01-01,Frankfurt am Main,,DE
2143,Nikolay,Kasatkin,M,1859-01-01,1930-01-01,Moscow,Moscow,RU
2144,Alfons,Purtscher,M,1885-01-01,1962-01-01,Klagenfurt,London,AT
2148,Jurij Il'ič,Repin,M,1877-01-01,1954-01-01,Chuguyev,Helsingfors,RU
2151,Olga,Oppenheimer,F,1886-01-01,1941-01-01,Cologne,Majdanek,DE
2153,Walter,Schnackenberg,M,1880-01-01,1961-01-01,Lauterberg,Rosenheim,DE
2159,Ivan,Thiele,M,1877-01-01,1948-01-01,Saint Petersburg,Paris,FR
2161,James,Pryde,M,1866-01-01,1941-01-01,Edinburgh,London,GB
2162,Valentín de,Zubiaurre,M,1879-01-01,1963-01-01,Madrid,Madrid,ES
2169,William Emile,Schumacher,M,1870-01-01,1931-01-01,Boston,Kingston,US
2171,Marguerite,Gérard,F,1761-01-01,1837-01-01,Grasse,Paris,FR
2172,Angelica,Kauffmann,F,1741-01-01,1807-01-01,Chur,Rome,CH
2173,Eugénie,Lebrun,F,1797-01-01,1872-01-01,Paris,Paris,FR
2175,Pauline Freiin von,Koudelka,F,1806-01-01,1840-01-01,Vienna,Vienna,DE
2178,Henriette von,Brevillier,F,1801-01-01,1843-01-01,Vienna,Vienna,AT
2180,Elisabeth Alida,Haanen,F,1809-01-01,1845-01-01,Utrecht,Amsterdam,NL
2181,Rosa,Bonheur,F,1822-01-01,1899-01-01,Bordeaux,Thomery,FR
2184,Adélaïde,Labille-Guiard,F,1749-01-01,1803-01-01,Paris,Paris,FR
2185,Julie,Kaltenbaeck,F,1821-01-01,1903-01-01,Vienna,Vienna,AT
2186,Elisabeth Louise,Vigée-LeBrun,F,1755-01-01,1842-01-01,Paris,Paris,FR
2187,Elisabetta,Sirani,F,1638-01-01,1665-01-01,Bologna,Bologna,IT
2189,Rachel,Ruysch,F,1664-01-01,1750-01-01,Amsterdam,Amsterdam,NL
2190,Maria van,Oosterwyck,F,1630-01-01,1693-01-01,Delft,Uitdam,NL
2191,Friederike Emilie August,O'Connell,F,1823-01-01,1885-01-01,Potsdam,Paris,DE
2192,Anna Dorothea,Lisiewska,F,1721-01-01,1782-01-01,Berlin,Berlin,DE
2193,Eleonore,Auegg-Dilg,F,1811-01-01,1890-01-01,Vienna,Graz,AT
2194,Fanny,Charring,F,0000-01-01,0000-01-01,,,FR
2195,Rosalba,Carriera,F,1675-01-01,1757-01-01,Venice,Venice,IT
2196,Betty,Fröhlich,F,1798-01-01,1878-01-01,Vienna,Vienna,AT
2197,Gabrielle,Bertrand,F,1730-01-01,1790-01-01,Lunéville,Vienna,FR
2199,Louise,Seidler,F,1786-01-01,1866-01-01,Jena,Weimar,DE
2200,Jeanne-Elisabeth,Chaudet,F,1767-01-01,1832-01-01,Paris,Paris,FR
2202,Margaret Sarah,Carpenter,F,1793-01-01,1872-01-01,Salisbury,London,GB
2203,Michaelina,Woutiers,F,1610-01-01,1670-01-01,,Brussels,BE
2204,Jeanne Philiberte,Ledoux,F,1767-01-01,1840-01-01,Paris,Belleville,FR
2205,Anne,Vallayer-Coster,F,1744-01-01,1818-01-01,Paris,Paris,FR
2206,Judith,Leyster,F,1609-01-01,1660-01-01,Haarlem,Heemstede,NL
2207,Gertrude,Veen,F,1602-01-01,1643-01-01,Antwerp,Antwerp,BE
2208,Catharina van,Hemessen,F,1528-01-01,1590-01-01,Antwerp,Antwerp,NL
2209,Sofonisba,Anguissola,F,1527-01-01,1625-01-01,Cremona,Palermo,IT
2210,Mary,Beale,F,1633-01-01,1699-01-01,Great Barrow,London,GB
2211,Nanette,Rosenzweig-Windisch,F,1780-01-01,0000-01-01,,,DE
2212,Lucia Fairchild,Fuller,F,1872-01-01,1924-01-01,Boston,Madison,US
2213,Sophie Friedrike,Dinglinger,F,1739-01-01,1791-01-01,Dresden,Dresden,DE
2214,Diana,Beauclerk,F,1734-01-01,1808-01-01,London,Twickenham,GB
2215,Julian Alden,Weir,M,1852-01-01,1919-01-01,West Point,New York,US
2216,Elsie Dodge,Pattee,F,1876-01-01,1975-01-01,"Chelsea, Massachusetts",Old Lyme,US
2217,Maria Louisa Catherine Cecilia,Cosway,F,1759-01-01,1838-01-01,Florence,Lodi,GB
2219,Mahonri Mackintosh,Young,M,1877-01-01,1957-01-01,Salt Lake City,"Norwalk, Connecticut",US
2220,Johanna,Freund,F,1888-01-01,1940-01-01,Vienna,Vienna,AT
2221,Kate,Greenaway,F,1846-01-01,1901-01-01,Hoxton,Hampstead,GB
2222,Anna Maria,Mengs,F,1751-01-01,1793-01-01,Dresden,Madrid,DE
2223,Bessie,MacNicol,F,1869-01-01,1904-01-01,Glasgow,Glasgow,GB
2224,Eva,Gonzalès,F,1849-01-01,1883-01-01,Paris,Paris,FR
2225,Mariya,Bashkirtseva,F,1858-01-01,1884-01-01,Gavrontsy,Paris,UA
2226,Henriette,Ronner,F,1821-01-01,1909-01-01,Amsterdam,Brussels,NL
2227,Mimi,Munsch,F,1868-01-01,1904-01-01,,Vienna,
2228,Emilie,Mediz-Pelikan,F,1861-01-01,1908-01-01,Vöcklabruck,Dresden,AT
2229,Emmi,Walther,F,1860-01-01,1936-01-01,Hamburg,Dachau,DE
2230,Auguste Uta,Weech,F,1866-01-01,1944-01-01,Karlsruhe,Freiburg im Breisgau,DE
2231,Vilma von,Friedrich,F,1869-01-01,1963-01-01,Graz,Dachau,AT
2232,Ida,Gerhardi,F,1867-01-01,1927-01-01,Hagen,Lüdenscheid,DE
2233,Clara Lotte von,Marcard,F,1872-01-01,1955-01-01,,Pasadena,DE
2234,Margarete,Stall,F,1871-01-01,1937-01-01,Vienna,,AT
2235,Victoria,Zimmermann,F,0000-01-01,1931-01-01,,,
2236,Ellen,Tornquist,F,1871-01-01,0000-01-01,Hamburg,,DE
2237,Paula von,Geiger von Blanckenburg,F,1875-01-01,1956-01-01,Torgau,Munich,DE
2238,Maria,Laumen,F,1878-01-01,1957-01-01,Colmar,Munich,DE
2239,Ella,Räuber,F,1874-01-01,1963-01-01,Elbing,Biedenkopf,DE
2240,Clara,Gumpertz,F,1863-01-01,0000-01-01,Breslau,,DE
2241,Harry,Fürther,F,1875-01-01,1942-01-01,Munich,Treblinka,DE
2242,Elizabeth Lucy Gabell,Smith,F,1861-01-01,1934-01-01,,Lewes,GB
2243,Mary,Davis,F,1866-01-01,1941-01-01,London,Romsey,GB
2245,Margaret,Macdonald,F,1865-01-01,1933-01-01,Tipton,Chelsea,GB
2246,Isabella A.,Dods-Withers,F,1876-01-01,1939-01-01,North Berwick,London,GB
2247,Edyth,Rackham,F,1867-01-01,1941-01-01,"Westcliff House, County Galway",,GB
2248,Ethel Quixano,Henriques,F,1868-01-01,1936-01-01,Manchester,London,GB
2249,C.,Rea,F,0000-01-01,0000-01-01,,,
2250,Clare,Atwood,F,1866-01-01,1962-01-01,Surrey,Tenterden,GB
2251,Pascal Adolphe Jean,Dagnan-Bouveret,M,1852-01-01,1929-01-01,Paris,Cavalaire-sur-Mer,FR
2252,Carolina,Haverman-Birnie,F,1864-01-01,1933-01-01,Jember,"Hague, The",NL
